Site,beta_canopy,beta_gradient,beta_temp,beta_humidity,beta_mother,temperature,humidity,canopy,gradient,simpsons,mother_simp
1,0.979167,0.915493,0.441860465,0.979166667,0.485,106.779661,95.84086799,95,5,0.57556,0.67
2,0.230769,0.905882,0.916666667,0.230769231,0.737,106.1797753,93.27272727,70,7,0.741077,0.14
3,0,1,1,0,0.687,107.8534031,102.5,85,6,0.296667,0.82
4,1,1,1,1,1,101.5463918,102.5490196,95,6,0.5294118,0.85
5,1,0.786164,0.95890411,1,1,97.40932642,103.8461538,60,1,0.593804462,0.75
6,0.944444,0.756098,0.623188406,0.944444444,0.946,92.42424242,109.1617934,100,3,0.6666667,0.74
7,1,0.65,0.798319328,1,0.963,99.5,100,85,7,0.761016,0.66
8,1,0,0.910447761,1,0.98,94.05940594,105.2631579,95,2,0.517647059,0.65
9,0.84,1,0.879518072,0.984962406,0.981,112.745098,103.8986355,70,11,0.791987454,0.92
10,0.984962,0.877095,1,1,1,94.87179487,102.6266417,95,10,0.285714286,0.61
11,0.932584,1,0.459016393,0.93258427,0.817,104.6875,96.40933573,75,7,0.788311247,0.71
12,0.959596,0.958621,0.590909091,0.95959596,0.977,118.7165775,86.27787307,90,10,0.532686415,0.71
13,1,0.927711,0.866666667,0.959183673,0.964,114.2857143,85.91549296,80,19,0.566176471,0.55
14,0.75,1,0.857142857,1,0.832,115.7534247,87.93828892,95,21,0.818181818,0.53
15,0.959184,0.906736,0.876923077,0.75,1,104.0816327,100,40,28,0.62392201,0.86
16,1,0.9375,1,1,0.595,115.7534247,74.62686567,95,13,0.245977012,0.33
17,0.983607,0.761905,0.9375,0.741935484,0.887,112.3287671,72.36842105,70,17,0.893939394,0.4
18,0.978947,0.847458,0.97309417,0.978947368,0.985,113.0136986,72.36842105,65,17,0.76944,0.8
19,0.741935,0.948052,0.961290323,0.983606557,0.97,110.3448276,72.47706422,30,14,0.719158,1
20,1,0.941176,0,1,0.797,103.1446541,93.72442019,80,2,0.719158,0.75
21,1,0.641379,0.984848485,1,0.988,93.125,102.7137042,85,1,0.513287,0.82
22,1,0.798319,0.927272727,1,0.979,88.19875776,104.0927694,100,0,0,0.81
23,1,0.887179,0.923076923,1,0.973,90.2173913,103.1746032,85,10,0.51151,0.56
24,1,0.970149,0.962962963,1,0.979,99.45652174,94.76190476,95,16,0,0.44
25,1,0.744444,0.961783439,1,0.98,91.06145251,111.2903226,95,14,0.4144884,0
26,1,0.929412,0.964071856,1,0.99,91.06145251,106.9354839,95,14,0.59292,0.43
27,0.960265,0.736041,0.875647668,0.7875,0.251,117.7777778,102.9250457,100,12,0.507605,0.73
28,0.698113,0.89899,0.511627907,0.698113208,0.672,97.22222222,104.2047532,100,3,0.67422,0.71
29,0.686957,0.962733,0.797297297,0.686956522,0,96.66666667,109.1407678,85,4,0.583994,0.64
30,0.7875,1,0.869565217,0.960264901,0.584,93.33333333,120.6581353,90,1,0.551192,0.68
